RNAcentral:URS00002F4D78_9606,URS00002F4D78_9606
RNAcentral:URS000024463E_9606,URS000024463E_9606
RNAcentral:URS0000272A3D_9606,URS0000272A3D_9606
RNAcentral:URS00002075FA_9606,URS00002075FA_9606
RNAcentral:URS000075C8FA_9606,URS000075C8FA_9606
UniProtKB:Q9BSH4,TACO1
UniProtKB:O15091,KIAA0391
UniProtKB:Q9BSF4,TIMM29
UniProtKB:Q96Q11,TRNT1
UniProtKB:Q9BSE5,AGMAT
UniProtKB:O15079,SNPH
UniProtKB:Q96PN6,ADCY10
UniProtKB:Q9NV92,NDFIP2
UniProtKB:Q5T2R2,PDSS1
UniProtKB:Q5T2N8,ATAD3C
UniProtKB:Q9NUQ2,AGPAT5
UniProtKB:Q96PE7,MCEE
UniProtKB:Q96PD7,DGAT2
UniProtKB:Q32P41,TRMT5
UniProtKB:P12532,CKMT1A
UniProtKB:Q96MF6,COQ10A
UniProtKB:Q9NS18,GLRX2
UniProtKB:Q9NRP4,SDHAF3
UniProtKB:Q9NRP2,CMC2
UniProtKB:P20132,SDS
UniProtKB:P54687,BCAT1
UniProtKB:P27348,YWHAQ
UniProtKB:Q330K2,NDUFAF6
UniProtKB:Q9NRK6,ABCB10
UniProtKB:O60397,COX7A2P2
UniProtKB:P29475,NOS1
UniProtKB:Q9P013,CWC15
UniProtKB:Q6P1Q0,LETMD1
UniProtKB:P49914,MTHFS
UniProtKB:P49901,SMCP
UniProtKB:Q96LW4,PRIMPOL
UniProtKB:Q96LU5,IMMP1L
UniProtKB:Q9NRZ5,AGPAT4
UniProtKB:P0DPI2,GATD3A
UniProtKB:Q14249,ENDOG
UniProtKB:Q9NQZ5,STARD7
UniProtKB:Q9H649,NSUN3
UniProtKB:Q9H5Q4,TFB2M
UniProtKB:Q9H611,PIF1
UniProtKB:Q9NR30,DDX21
UniProtKB:Q9NR28,DIABLO
UniProtKB:Q9NR19,ACSS2
UniProtKB:Q9NQP4,PFDN4
UniProtKB:Q9UNQ0,ABCG2
UniProtKB:Q96LC9,BMF
UniProtKB:P22695,UQCRC2
UniProtKB:O43181,NDUFS4
UniProtKB:Q9NQH7,XPNPEP3
UniProtKB:P0DP23,CALM1
UniProtKB:Q9NQG6,MIEF1
UniProtKB:Q9H9J2,MRPL44
UniProtKB:Q9NUL7,DDX28
UniProtKB:Q9NUJ1,ABHD10
UniProtKB:Q08209,PPP3CA
UniProtKB:Q9BRQ6,CHCHD6
UniProtKB:A3KMH1,VWA8
UniProtKB:H3BRW5,H3BRW5
UniProtKB:Q9BRJ2,MRPL45
UniProtKB:P02511,CRYAB
UniProtKB:Q9H8Y5,ANKZF1
UniProtKB:P09211,GSTP1
UniProtKB:O95139,NDUFB6
UniProtKB:Q9H974,QTRT2
UniProtKB:Q9H936,SLC25A22
UniProtKB:Q6GPH4,XAF1
UniProtKB:Q01484,ANK2
UniProtKB:Q9H903,MTHFD2L
UniProtKB:Q9H902,REEP1
UniProtKB:P19438,TNFRSF1A
UniProtKB:Q9H8M1,COQ10B
UniProtKB:Q5T1J5,CHCHD2P9
UniProtKB:P54886,ALDH18A1
UniProtKB:P54868,HMGCS2
UniProtKB:P19404,NDUFV2
UniProtKB:Q9UQM7,CAMK2A
UniProtKB:Q9BQT8,SLC25A21
UniProtKB:Q969V5,MUL1
UniProtKB:Q5T1C6,THEM4
UniProtKB:P54819,AK2
UniProtKB:Q14CZ7,FASTKD3
UniProtKB:Q9NTG7,SIRT3
UniProtKB:A6XGL0,YJEFN3
UniProtKB:Q9BQP7,MGME1
UniProtKB:O60543,CIDEA
UniProtKB:Q9H7Z7,PTGES2
UniProtKB:Q13454,TUSC3
UniProtKB:Q9P0J1,PDP1
UniProtKB:Q13423,NNT
UniProtKB:Q6PK57,DNM1P34
UniProtKB:Q53R41,FASTKD1
UniProtKB:Q13405,MRPL49
UniProtKB:Q6IMN6,CAPRIN2
UniProtKB:Q9NZJ6,COQ3
UniProtKB:Q9NZJ4,SACS
UniProtKB:P34932,HSPA4
UniProtKB:Q6ZV29,PNPLA7
UniProtKB:Q9P0S2,COX16
UniProtKB:Q9NZE8,MRPL35
UniProtKB:Q9NZC7,WWOX
UniProtKB:Q9BWM7,SFXN3
UniProtKB:Q9P0W8,SPATA7
UniProtKB:P09769,FGR
UniProtKB:Q9H2W6,MRPL46
UniProtKB:Q70HW3,SLC25A26
UniProtKB:Q9BWH2,FUNDC2
UniProtKB:P61221,ABCE1
UniProtKB:O15498,YKT6
UniProtKB:P56556,NDUFA6
UniProtKB:Q9NYZ2,SLC25A37
UniProtKB:Q9NYY8,FASTKD2
UniProtKB:Q9BWD1,ACAT2
UniProtKB:O14874,BCKDK
UniProtKB:A8MUP2,CSKMT
UniProtKB:O15446,CD3EAP
UniProtKB:P04181,OAT
UniProtKB:P04179,SOD2
UniProtKB:O15417,TNRC18
UniProtKB:Q9NZ45,CISD1
UniProtKB:P04150,NR3C1
UniProtKB:Q6PIV7,SLC25A34
UniProtKB:Q13323,BIK
UniProtKB:Q96TC7,RMDN3
UniProtKB:Q53S33,BOLA3
UniProtKB:Q9BVV7,TIMM21
UniProtKB:Q9NYK5,MRPL39
UniProtKB:Q92667,AKAP1
UniProtKB:Q92665,MRPS31
UniProtKB:Q9HCN4,GPN1
UniProtKB:Q9HCN2,TP53AIP1
UniProtKB:Q86WW8,COA5
UniProtKB:Q9HCM9,TRIM39
UniProtKB:Q709F0,ACAD11
UniProtKB:P51572,BCAP31
UniProtKB:Q86X67,NUDT13
UniProtKB:Q86WU2,LDHD
UniProtKB:Q8TD30,GPT2
UniProtKB:P51553,IDH3G
UniProtKB:Q709C8,VPS13C
UniProtKB:Q8TD22,SFXN5
UniProtKB:Q8IWL3,HSCB
UniProtKB:P51530,DNA2
UniProtKB:Q8N1Q8,THEM5
UniProtKB:P31040,SDHA
UniProtKB:Q9HCE7,SMURF1
UniProtKB:Q15070,OXA1L
UniProtKB:Q8NI37,PPTC7
UniProtKB:P14927,UQCRB
UniProtKB:P14920,DAO
UniProtKB:Q8IWA4,MFN1
UniProtKB:P61764,STXBP1
UniProtKB:Q86WG3,ATCAY
UniProtKB:Q15046,KARS
UniProtKB:Q15031,LARS2
UniProtKB:Q8TCC3,MRPL30
UniProtKB:O00198,HRK
UniProtKB:Q6Q0C1,SLC25A47
UniProtKB:P41250,GARS
UniProtKB:P41247,PNPLA4
UniProtKB:P0CG47,UBB
UniProtKB:O00167,EYA2
UniProtKB:O00165,HAX1
UniProtKB:P41220,RGS2
UniProtKB:O00154,ACOT7
UniProtKB:P36551,CPOX
UniProtKB:O00144,FZD9
UniProtKB:O00142,TK2
UniProtKB:O00141,SGK1
UniProtKB:P36542,ATP5F1C
UniProtKB:P09543,CNP
UniProtKB:P56385,ATP5ME
UniProtKB:P56381,ATP5F1E
UniProtKB:P56378,MP68
UniProtKB:Q96RR1,TWNK
UniProtKB:Q9GZY8,MFF
UniProtKB:Q69YI7,NAIF1
UniProtKB:Q9GZY4,COA1
UniProtKB:Q96RQ3,MCCC1
UniProtKB:O15294,OGT
UniProtKB:Q96RP9,GFM1
UniProtKB:O15287,FANCG
UniProtKB:Q5ST30,VARS2
UniProtKB:Q9GZT8,NIF3L1
UniProtKB:Q9GZT3,SLIRP
UniProtKB:Q9BUB7,TMEM70
UniProtKB:Q9BUA6,MYL10
UniProtKB:O15239,NDUFA1
UniProtKB:O15235,MRPS12
UniProtKB:Q9NWU5,MRPL22
UniProtKB:Q9NWU1,OXSM
UniProtKB:O15228,GNPAT
UniProtKB:Q9GZQ8,MAP1LC3B
UniProtKB:Q9NX47,5-Mar
UniProtKB:Q9NWR8,MCUB
UniProtKB:Q9NX20,MRPL16
UniProtKB:Q9BTZ2,DHRS4
UniProtKB:Q9H4A6,GOLPH3
UniProtKB:E0CX11,STMP1
UniProtKB:Q13114,TRAF3
UniProtKB:Q96JZ2,HSH2D
UniProtKB:Q6ZS86,GK5
UniProtKB:Q9NPE2,NGRN
UniProtKB:Q9BTU6,PI4K2A
UniProtKB:Q9BU61,NDUFAF3
UniProtKB:P55916,UCP3
UniProtKB:Q9Y3B8,REXO2
UniProtKB:P55957,BID
UniProtKB:Q9NWB6,ARGLU1
UniProtKB:P26196,DDX6
UniProtKB:Q9HAC7,SUGCT
UniProtKB:P58004,SESN2
UniProtKB:Q8IUC6,TICAM1
UniProtKB:P14735,IDE
UniProtKB:Q8TAE8,GADD45GIP1
UniProtKB:Q86UD5,SLC9B2
UniProtKB:Q8TAA5,GRPEL2
UniProtKB:Q86UB9,TMEM135
UniProtKB:Q9BZE1,MRPL37
UniProtKB:O60260,PRKN
UniProtKB:A0A087X1C5,CYP2D7
UniProtKB:Q6NUN0,ACSM5
UniProtKB:Q6NUK1,SLC25A24
UniProtKB:P18858,LIG1
UniProtKB:P18859,ATP5PF
UniProtKB:Q13686,ALKBH1
UniProtKB:Q5SXM8,DNLZ
UniProtKB:Q6NUI2,GPAT2
UniProtKB:Q86U90,YRDC
UniProtKB:Q9BYZ2,LDHAL6B
UniProtKB:Q13637,RAB32
UniProtKB:Q6SZW1,SARM1
UniProtKB:P83111,LACTB
UniProtKB:Q13625,TP53BP2
UniProtKB:Q86TS9,MRPL52
UniProtKB:A1L188,NDUFAF8
UniProtKB:Q9BYV1,AGXT2
UniProtKB:Q86U28,ISCA2
UniProtKB:Q9BYT8,NLN
UniProtKB:Q5T9A4,ATAD3B
UniProtKB:Q86TL0,ATG4D
UniProtKB:Q03393,PTS
UniProtKB:P33316,DUT
UniProtKB:Q9H4B0,OSGEPL1
UniProtKB:Q96JX3,SERAC1
UniProtKB:O75131,CPNE3
UniProtKB:O75947,ATP5PD
UniProtKB:Q9NPB1,NT5M
UniProtKB:O75936,BBOX1
UniProtKB:Q9NPA8,ENY2
UniProtKB:Q9H3Z4,DNAJC5
UniProtKB:P0C869,PLA2G4B
UniProtKB:P59942,MCCD1
UniProtKB:A0A1B0GUH1,A0A1B0GUH1
UniProtKB:P0C7Q2,ARMS2
UniProtKB:P0C7P4,UQCRFS1P1
UniProtKB:Q6IC98,GRAMD4
UniProtKB:P0C7M7,ACSM4
UniProtKB:Q16798,ME3
UniProtKB:Q16795,NDUFA9
UniProtKB:Q9H3P7,ACBD3
UniProtKB:P12236,SLC25A6
UniProtKB:P12235,SLC25A4
UniProtKB:Q16775,HAGH
UniProtKB:Q16773,KYAT1
UniProtKB:Q16762,TST
UniProtKB:Q3ZCQ8,TIMM50
UniProtKB:Q9H3M7,TXNIP
UniProtKB:Q9H3L0,MMADHC
UniProtKB:Q16740,CLPP
UniProtKB:B7ZC32,KIF28P
UniProtKB:Q9H3K2,GHITM
UniProtKB:P0DMV8,HSPA1A
UniProtKB:Q9ULP0,NDRG4
UniProtKB:Q16719,KYNU
UniProtKB:Q16718,NDUFA5
UniProtKB:Q9H3H1,TRIT1
UniProtKB:P49675,STAR
UniProtKB:P49662,CASP4
UniProtKB:P40926,MDH2
UniProtKB:O75896,TUSC2
UniProtKB:O75880,SCO1
UniProtKB:O75879,GATB
UniProtKB:O75208,COQ9
UniProtKB:O75874,IDH1
UniProtKB:Q96IX5,ATP5MD
UniProtKB:Q9ULD2,MTUS1
UniProtKB:Q9ULD0,OGDHL
UniProtKB:O60830,TIMM17B
UniProtKB:E9PQ53,NDUFC2-KCTD14
UniProtKB:P56277,CMC4
UniProtKB:Q9H4I9,SMDT1
UniProtKB:Q5T440,IBA57
UniProtKB:Q9NW81,DMAC2
UniProtKB:Q9NVV4,MTPAP
UniProtKB:Q96QK1,VPS35
UniProtKB:Q13084,MRPL28
UniProtKB:Q2VYF4,LETM2
UniProtKB:O15121,DEGS1
UniProtKB:P12931,SRC
UniProtKB:P24311,COX7B
UniProtKB:P24310,COX7A1
UniProtKB:Q13057,COASY
UniProtKB:Q01664,TFAP4
UniProtKB:P19634,SLC9A1
UniProtKB:Q96QE5,TEFM
UniProtKB:Q9BSY4,CHCHD5
UniProtKB:Q9BT92,TCHP
UniProtKB:Q13011,ECH1
UniProtKB:Q5SRD1,TIMM23B
UniProtKB:Q9NVI7,ATAD3A
UniProtKB:Q9NVH6,TMLHE
UniProtKB:Q9NVH1,DNAJC11
UniProtKB:Q9BT30,ALKBH7
UniProtKB:O60783,MRPS14
UniProtKB:Q9BT17,MTG1
UniProtKB:P14060,HSD3B1
UniProtKB:Q96Q83,ALKBH3
UniProtKB:O60733,PLA2G6
UniProtKB:Q9NVA1,UQCC1
UniProtKB:P29803,PDHA2
UniProtKB:P56181,NDUFV3
UniProtKB:Q06945,SOX4
UniProtKB:Q14061,COX17
UniProtKB:P12694,BCKDHA
UniProtKB:Q96NN9,AIFM3
UniProtKB:Q9BQC6,MRPL57
UniProtKB:Q9H845,ACAD9
UniProtKB:Q9UPV9,TRAK1
UniProtKB:P19367,HK1
UniProtKB:P07954,FH
UniProtKB:P07948,LYN
UniProtKB:Q96ND0,FAM210A
UniProtKB:P30837,ALDH1B1
UniProtKB:Q9BPX6,MICU1
UniProtKB:Q9NRD5,PICK1
UniProtKB:P54764,EPHA4
UniProtKB:Q9BPW8,NIPSNAP1
UniProtKB:Q96NB2,SFXN2
UniProtKB:P07900,HSP90AA1
UniProtKB:Q9BQ52,ELAC2
UniProtKB:Q12983,BNIP3
UniProtKB:Q9BQ48,MRPL34
UniProtKB:Q9H7D7,WDR26
UniProtKB:O60488,ACSL4
UniProtKB:P22830,FECH
UniProtKB:Q9NSE4,IARS2
UniProtKB:Q9NRI5,DISC1
UniProtKB:O60437,PPL
UniProtKB:O60427,FADS1
UniProtKB:Q14142,TRIM14
UniProtKB:Q14164,IKBKE
UniProtKB:Q6PCB7,SLC27A1
UniProtKB:Q96GF1,RNF185
UniProtKB:Q9HC38,GLOD4
UniProtKB:Q9HC36,MRM3
UniProtKB:Q9HC29,NOD2
UniProtKB:Q9HC21,SLC25A19
UniProtKB:O00116,AGPS
UniProtKB:Q8IVS8,GLYCTK
UniProtKB:Q8IW45,NAXD
UniProtKB:Q8IVS2,MCAT
UniProtKB:P36507,MAP2K2
UniProtKB:Q8TC76,FAM110B
UniProtKB:Q8TC71,SPATA18
UniProtKB:Q92558,WASF1
UniProtKB:Q92552,MRPS27
UniProtKB:P04637,TP53
UniProtKB:Q92542,NCSTN
UniProtKB:Q92538,GBF1
UniProtKB:Q92523,CPT1B
UniProtKB:Q13825,AUH
UniProtKB:Q99942,RNF5
UniProtKB:Q86W56,PARG
UniProtKB:Q8TBP6,SLC25A40
UniProtKB:Q9HBH1,PDF
UniProtKB:Q86VQ6,TXNRD3
UniProtKB:Q5SZD4,GLYATL3
UniProtKB:Q86VP3,PACS2
UniProtKB:Q8IVH4,MMAA
UniProtKB:Q8IVG9,MT-RNR2
UniProtKB:P14854,COX6B1
UniProtKB:Q8TBG4,ETNPPL
UniProtKB:Q86VD7,SLC25A42
UniProtKB:P56962,STX17
UniProtKB:Q8IUZ5,PHYKPL
UniProtKB:P61604,HSPE1
UniProtKB:Q6DKK2,TTC19
UniProtKB:Q9HAV7,GRPEL1
UniProtKB:Q8IUX1,TMEM126B
UniProtKB:Q92499,DDX1
UniProtKB:Q13794,PMAIP1
UniProtKB:Q9HAP2,MLXIP
UniProtKB:P36404,ARL2
UniProtKB:Q9HB07,C12orf10
UniProtKB:O14966,RAB29
UniProtKB:P35558,PCK1
UniProtKB:P35557,GCK
UniProtKB:O14949,UQCRQ
UniProtKB:Q5T160,RARS2
UniProtKB:Q12887,COX10
UniProtKB:O14925,TIMM23
UniProtKB:P15056,BRAF
UniProtKB:Q9UPW5,AGTPBP1
UniProtKB:Q6P087,RPUSD3
UniProtKB:Q12849,GRSF1
UniProtKB:Q9BYN8,MRPS26
UniProtKB:P50440,GATM
UniProtKB:U3KQK5,U3KQK5
UniProtKB:P50416,CPT1A
UniProtKB:Q9BZ23,PANK2
UniProtKB:P57105,SYNJ2BP
UniProtKB:P57103,SLC8A3
UniProtKB:Q969Z3,2-Mar
UniProtKB:Q969Z0,TBRG4
UniProtKB:Q9UQF2,MAPK8IP1
UniProtKB:Q969Y2,GTPBP3
UniProtKB:P13804,ETFA
UniProtKB:Q969S9,GFM2
UniProtKB:Q9NTK1,DEPP1
UniProtKB:Q969P6,TOP1MT
UniProtKB:P60602,ROMO1
UniProtKB:O14879,IFIT3
UniProtKB:O14862,AIM2
UniProtKB:Q969M1,TOMM40L
UniProtKB:Q969I3,GLYATL1
UniProtKB:Q12778,FOXO1
UniProtKB:A0A087WUM0,SYNJ2BP-COX16
UniProtKB:Q12772,SREBF2
UniProtKB:Q969H0,FBXW7
UniProtKB:Q969F0,FATE1
UniProtKB:P50336,PPOX
UniProtKB:Q6NVY1,HIBCH
UniProtKB:Q5TH74,STPG1
UniProtKB:G3V3G9,G3V3G9
UniProtKB:Q7Z3D6,DGLUCY
UniProtKB:P21980,TGM2
UniProtKB:Q13875,MOBP
UniProtKB:Q9Y2Q3,GSTK1
UniProtKB:P36776,LONP1
UniProtKB:P21953,BCKDHB
UniProtKB:Q6YP21,KYAT3
UniProtKB:O75362,ZNF217
UniProtKB:P21912,SDHB
UniProtKB:Q8N357,SLC35F6
UniProtKB:Q96BY2,MOAP1
UniProtKB:Q7Z2W9,MRPL21
UniProtKB:P08133,ANXA6
UniProtKB:Q05932,FPGS
UniProtKB:Q8IW03,SIAH3
UniProtKB:Q9Y399,MRPS2
UniProtKB:Q8IVP5,FUNDC1
UniProtKB:Q7L8L6,FASTKD5
UniProtKB:G3V325,ATP5J2-PTCD1
UniProtKB:Q8N2F6,ARMC10
UniProtKB:Q86WA6,BPHL
UniProtKB:Q5H9E4,SLC25A53
UniProtKB:Q8N2A8,PLD6
UniProtKB:P53778,MAPK12
UniProtKB:Q9HC96,CAPN10
UniProtKB:Q00325,SLC25A3
UniProtKB:P48201,ATP5MC3
UniProtKB:Q70CQ3,USP30
UniProtKB:Q96B49,TOMM6
UniProtKB:Q07021,C1QBP
UniProtKB:Q8TCG5,CPT1C
UniProtKB:P53701,HCCS
UniProtKB:Q7L7V1,DHX32
UniProtKB:Q96CB9,NSUN4
UniProtKB:P23443,RPS6KB1
UniProtKB:Q00796,SORD
UniProtKB:P23434,GCSH
UniProtKB:Q7Z6M4,MTERF4
UniProtKB:Q13505,MTX1
UniProtKB:Q9HD33,MRPL47
UniProtKB:P13196,ALAS1
UniProtKB:Q8N5Z0,AADAT
UniProtKB:Q494U1,PLEKHN1
UniProtKB:Q9P032,NDUFAF4
UniProtKB:Q8N5S1,SLC25A41
UniProtKB:Q9BY49,PECR
UniProtKB:P43897,TSFM
UniProtKB:P80404,ABAT
UniProtKB:Q8N5N7,MRPL50
UniProtKB:Q7KZN9,COX15
UniProtKB:Q8N5M1,ATPAF2
UniProtKB:P23396,RPS3
UniProtKB:P23378,GLDC
UniProtKB:P23368,ME2
UniProtKB:P55211,CASP9
UniProtKB:Q7KZI7,MARK2
UniProtKB:Q8N5G0,SMIM20
UniProtKB:Q9UBK2,PPARGC1A
UniProtKB:Q7Z5L4,SPATA19
UniProtKB:Q7Z5J4,RAI1
UniProtKB:P0CG48,UBC
UniProtKB:Q6L8Q7,PDE12
UniProtKB:O94811,TPPP
UniProtKB:A6NDV4,TMEM8B
UniProtKB:P13073,COX4I1
UniProtKB:P13051,UNG
UniProtKB:Q8N573,OXR1
UniProtKB:Q02221,COX6A2
UniProtKB:Q02218,OGDH
UniProtKB:Q8N9M5,TMEM102
UniProtKB:P23786,CPT2
UniProtKB:O14561,NDUFAB1
UniProtKB:Q9NX14,NDUFB11
UniProtKB:Q9NX18,SDHAF2
UniProtKB:P23763,VAMP1
UniProtKB:O14548,COX7A2L
UniProtKB:Q9NWS8,RMND1
UniProtKB:O14521,SDHD
UniProtKB:Q9NWT8,AURKAIP1
UniProtKB:Q8N9F0,NAT8L
UniProtKB:Q9NX63,CHCHD3
UniProtKB:Q9GZT6,CCDC90B
UniProtKB:Q9BUE6,ISCA1
UniProtKB:Q9UKN8,GTF3C4
UniProtKB:Q9BUK0,CHCHD7
UniProtKB:Q53T59,HS1BP3
UniProtKB:Q9BV35,SLC25A23
UniProtKB:Q9P2R7,SUCLA2
UniProtKB:Q8N945,PRELID2
UniProtKB:Q8N8R3,SLC25A29
UniProtKB:Q02156,PRKCE
UniProtKB:Q8N8Q8,COX18
UniProtKB:P56693,SOX10
UniProtKB:Q02127,DHODH
UniProtKB:Q9P2J9,PDP2
